x,y,z_reported,z_down,z_up,bias,down_spread,up_spread,reps,freq
60.000,60.000,0.089456,0.085354,0.093559,0.008206,0.000000,0.000000,1,214.00
60.000,60.000,0.090108,0.084448,0.095768,0.011320,0.000000,0.000000,1,214.00
60.000,60.000,0.091144,0.087356,0.094932,0.007576,0.000000,0.000000,1,214.00
60.000,60.000,0.091525,0.084938,0.098112,0.013175,0.000000,0.000000,1,214.00
60.000,60.000,0.088836,0.082340,0.095332,0.012992,0.000000,0.000000,1,214.00
60.000,60.000,0.089404,0.082557,0.096251,0.013694,0.000000,0.000000,1,214.00
60.000,60.000,0.086106,0.082167,0.090046,0.007879,0.000000,0.000000,1,214.00
60.000,60.000,0.087464,0.080724,0.094204,0.013479,0.000000,0.000000,1,214.00
60.000,60.000,0.089623,0.083302,0.095944,0.012642,0.000000,0.000000,1,214.00
60.000,60.000,0.092300,0.085215,0.099386,0.014171,0.000000,0.000000,1,214.00
60.000,60.000,0.089572,0.084717,0.094427,0.009710,0.000000,0.000000,1,214.00
60.000,60.000,0.090699,0.084568,0.096830,0.012263,0.000000,0.000000,1,214.00
60.000,60.000,0.092361,0.084928,0.099794,0.014865,0.000000,0.000000,1,214.00
60.000,60.000,0.089545,0.083006,0.096084,0.013077,0.000000,0.000000,1,214.00
60.000,60.000,0.088928,0.081771,0.096085,0.014314,0.000000,0.000000,1,214.00
60.000,60.000,0.089579,0.084153,0.095004,0.010850,0.000000,0.000000,1,214.00
60.000,60.000,0.090540,0.082900,0.098181,0.015281,0.000000,0.000000,1,214.00
60.000,60.000,0.089566,0.082407,0.096726,0.014319,0.000000,0.000000,1,214.00
20.000,25.000,0.070499,0.072276,0.068722,-0.003554,0.000000,0.000000,1,214.00
20.000,25.000,0.070125,0.070202,0.070048,-0.000155,0.000000,0.000000,1,214.00
60.000,25.000,0.100337,0.101685,0.098989,-0.002696,0.000000,0.000000,1,214.00
60.000,25.000,0.099481,0.099178,0.099783,0.000605,0.000000,0.000000,1,214.00
100.000,25.000,0.105031,0.099651,0.110411,0.010760,0.000000,0.000000,1,214.00
100.000,25.000,0.099418,0.095554,0.103282,0.007727,0.000000,0.000000,1,214.00
100.000,62.500,0.088339,0.076325,0.100354,0.024029,0.000000,0.000000,1,214.00
